Nh1,Nh2,Nh3,Nh4,activation_function,dropout_prob_1,dropout_prob_2,dropout_prob_3,dropout_prob_4,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time [min]
8,64,64,16,ReLU(),0,0,0.15,0,0.001,0.0005,30,300,0.335942715406418,0.349150329828262,0.537505869070689
128,256,32,64,ReLU(),0,0.15,0.15,0,0.0005,5E-05,30,400,0.390341013669968,0.493563830852508,0.525871903101603
32,128,256,64,ReLU(),0,0.15,0,0,0.05,0.0005,40,200,0.595791220664978,0.623703300952911,0.241781241893768
128,16,16,256,Tanh(),0,0.35,0,0,0.0005,5E-05,40,300,0.607160687446594,0.536282420158386,0.412490715185801
64,256,256,128,Tanh(),0,0,0.5,0,0.001,0.0005,40,300,0.283969223499298,0.363221108913422,0.395097287495931
32,64,128,64,Tanh(),0,0.15,0.5,0,0.01,0.0001,50,400,0.430381208658218,0.492748081684113,0.464904066721598
16,128,256,256,ReLU(),0,0.35,0.35,0,0.001,0.0005,30,100,0.844095885753632,0.701021552085876,0.199921561876933
64,256,64,64,Tanh(),0,0.15,0.35,0,0.01,0.0005,30,200,0.643362879753113,0.616887629032135,0.294621894359589
16,16,8,128,Tanh(),0,0,0.15,0,0.01,1E-05,50,100,0.464897483587265,0.4225212931633,0.137139236132304
16,128,8,64,ReLU(),0,0.15,0,0,0.01,0.001,30,200,0.362824231386185,0.441092193126678,0.261090050538381
64,16,8,16,Tanh(),0,0.15,0,0,0.01,0.001,50,300,0.579528570175171,0.473686218261719,0.378720133304596
16,8,128,64,Tanh(),0,0.15,0.5,0,0.01,0.0001,20,300,0.455191045999527,0.444863975048065,0.455908989111582
32,256,256,128,ReLU(),0,0.15,0,0,0.0005,0,50,400,0.265070974826813,0.287323564291,0.384937016963959
32,64,32,64,ReLU(),0,0,0,0,0.05,1E-05,30,400,0.285896629095078,0.462735503911972,0.561014309724172
8,8,32,128,Tanh(),0,0.15,0,0,0.01,0.001,40,300,0.456496655941009,0.43456706404686,0.408469440937042
32,128,64,128,ReLU(),0,0.15,0.15,0,0.001,0.0001,50,300,0.387477189302444,0.353704065084457,0.314596991539001
64,8,32,64,Tanh(),0,0,0.35,0,0.005,0,30,300,0.342846930027008,0.446694910526276,0.40844168027242
8,16,8,64,Tanh(),0,0.35,0,0,0.005,1E-05,20,400,0.397426187992096,0.382223457098007,0.560895444552104
32,16,32,64,Tanh(),0,0.15,0.5,0,0.01,0.0005,20,200,0.573893904685974,0.647828280925751,0.224106817245483
32,128,16,256,Tanh(),0,0.35,0,0,0.0005,0.001,30,400,0.321862131357193,0.331814467906952,0.445018286705017
64,128,256,16,ReLU(),0,0.15,0,0,0.001,0.0001,50,400,0.333505868911743,0.336656928062439,0.472032107512156
128,32,16,256,Tanh(),0,0.35,0,0,0.005,0.0001,20,400,0.371964544057846,0.456228077411652,0.506225356260935
32,256,32,256,Tanh(),0,0.5,0,0,0.0005,0.0001,50,400,0.304873257875442,0.329976707696915,0.604077476660411
64,64,256,256,Tanh(),0,0,0,0,0.0005,0.0001,20,100,0.520697593688965,0.596988379955292,0.392900461355845
16,256,256,128,ReLU(),0,0,0.5,0,0.001,0.001,30,400,0.296845495700836,0.315850973129272,0.504381865660349
32,16,64,16,ReLU(),0,0.15,0.5,0,0.01,0.0005,20,300,0.700102984905243,0.608754277229309,0.372100439071655
16,128,16,256,Tanh(),0,0.15,0.15,0,0.0005,0.0005,20,300,0.396696388721466,0.395322024822235,0.402150179545085
64,32,16,64,Tanh(),0,0,0,0,0.001,5E-05,50,400,0.235841989517212,0.334422588348389,0.532567137082418
64,8,128,128,Tanh(),0,0.35,0,0,0.001,0,50,400,0.662842333316803,0.478363752365112,0.469613471825918
16,16,256,256,Tanh(),0,0,0.35,0,0.01,0.0005,30,100,0.478723526000977,0.328045904636383,0.140192196369171
128,32,256,32,ReLU(),0,0.15,0.5,0,0.01,0,40,300,0.652509212493897,0.807536423206329,0.54705569823583
256,32,32,128,Tanh(),0,0.5,0,0,0.0005,0.0005,50,300,0.561689734458923,0.27482146024704,0.65474781592687
128,32,128,128,Tanh(),0,0,0.35,0,0.005,0.0005,20,200,0.416271984577179,0.241551607847214,0.451973074277242
16,256,128,128,ReLU(),0,0.35,0.5,0,0.0001,1E-05,30,400,0.582679212093353,0.293939530849457,1.45729989290237
8,8,8,256,Tanh(),0,0.35,0,0,0.0005,0,40,400,0.584590256214142,0.339637815952301,2.2638217775027
32,64,32,128,Tanh(),0,0,0,0,0.005,0.0005,30,200,0.303237378597259,0.236771032214165,0.436799992720286
256,64,256,64,Tanh(),0,0.5,0.35,0,0.005,0.0005,50,200,0.428710639476776,0.288030207157135,0.340538663864136
256,32,32,128,Tanh(),0,0.5,0,0,0.01,0,30,200,0.725153863430023,0.325532406568527,0.323983135223389
16,16,256,128,Tanh(),0,0.15,0.35,0,0.0005,0.001,30,400,0.333811610937119,0.245619416236877,1.0525261537234
