channels,kernel_sizes,strides,paddings,dropouts_probabilities,Nhs,lr,weight_decay,avg_tr_loss,avg_val_loss
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.06396014670535145, 0.42384347990092985]","[170, 44]",0.0019188252950246196,0.0016898763586800005,0.06724724173545837,0.060105547308921814
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.35062404933464053, 0.23334095206190697]","[81, 38]",0.06767033031601864,0.0002015642222428184,1.5444822311401367,1.3955212831497192
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.5753128861185162, 0.24367174091287025]","[23, 77]",2.9710142889749585e-05,0.010314399391105357,1.4039714336395264,1.2902191877365112
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.2520389407118256, 0.6172152792432076]","[144, 90]",0.05176225906766282,9.061618896928371e-07,2.303574800491333,2.3034982681274414
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.5134813774718806, 0.6489448643754454]","[140, 16]",0.002604539962027963,1.9235389379799476e-05,0.09852465987205505,0.052458539605140686
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.6707834180731985, 0.4314594386599775]","[242, 106]",0.050672847891449734,2.0595198945464374e-06,2.3034985065460205,2.303682327270508
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.6653173920033026, 0.5384408149083753]","[154, 126]",0.0065724351028904615,0.00041625260462089766,0.18358555436134338,0.077346071600914
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.2868981069923867, 0.23629454969358385]","[225, 74]",3.091634256196641e-05,0.038794238777049364,2.3013148307800293,2.301468849182129
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.33813518564485173, 0.2047626839169749]","[158, 98]",6.232775511200843e-05,2.0424830663977804e-05,0.0924791693687439,0.06333845853805542
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.6280479362184156, 0.4346563144845134]","[110, 71]",0.00013051196937024684,3.111772932460338e-07,0.17626434564590454,0.08991994708776474
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.4732358706413196, 0.040455326144093806]","[30, 6]",0.0004588595716429609,1.1466707300502482e-05,0.08432716131210327,0.055778905749320984
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.4814725281110677, 0.1037164105571391]","[23, 5]",0.00033748065896291876,1.662070071997849e-05,0.13927313685417175,0.09105272591114044
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.4832489296304834, 0.006801082124871349]","[78, 4]",0.003210142197917741,2.3647253409676858e-05,0.04917556792497635,0.048005133867263794
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.4636610565451614, 0.6953455048337887]","[77, 25]",0.004788110735631618,7.71338059964649e-05,0.1458347588777542,0.07135029137134552
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.5402416558734198, 0.6975514916747727]","[193, 21]",0.015148950371415485,3.744379817628049e-06,0.2849375009536743,0.11839569360017776
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.4057807143809092, 0.5589182389226923]","[104, 51]",0.001755549699624842,1.4947698912772674e-07,0.06516358256340027,0.047972723841667175
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.11446971390117616, 0.5330320453061437]","[64, 52]",0.0006955997012067564,1.1401962705778175e-07,0.053251948207616806,0.0516379289329052
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.3992319492726767, 0.003147828753573223]","[106, 55]",0.013370297104209642,1.1685428868859331e-07,0.09812173247337341,0.08309692144393921
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.21928522527771027, 0.3430944530470504]","[54, 34]",0.0013136067583912892,0.0034783375442161723,0.10880780220031738,0.07235494256019592
"[8, 16, 32]","[3, 3, 3]","[2, 2, 2]","[1, 1, 0]","[0.4021547224147794, 0.5407108123032893]","[109, 122]",0.00018573170196657136,5.35321916843677e-07,0.10906530916690826,0.07368629425764084
