channels,kernel_sizes,strides,paddings,dropouts_probabilities,Nhs,lr,weight_decay,avg_tr_loss,avg_val_loss,train_time
"[8, 16]","[2, 4]","[3, 1]","[1, 1]","[0.1960090329123164, 0.4323895774582499]","[239, 121]",2.2423921410907725e-05,4.7355487864132725e-07,0.1311938464641571,0.10980163514614105,9.780278978745143
"[7, 16, 16]","[2, 2, 6]","[3, 1, 4]","[0, 1, 1]","[0.41879863223704805, 0.45629907954112503]","[158, 128]",0.0019488469934346492,1.0098176583480861e-07,0.32460612058639526,0.24490070343017578,3.944178746143977
"[7, 16, 16]","[2, 2, 6]","[3, 1, 4]","[0, 1, 1]","[0.4084522104653412, 0.46660136000011576]","[148, 126]",0.002901597701002441,1.3128388156766482e-07,0.1357307732105255,0.0782143622636795,5.33481545050939
"[7, 13, 16]","[3, 2, 5]","[3, 1, 4]","[0, 1, 1]","[0.3871690390280469, 0.4753369163721768]","[103, 128]",0.003510272756211482,1.0326151460126298e-07,0.16493549942970276,0.08964855968952179,4.459890721241633
"[6, 13, 19]","[3, 2, 5]","[3, 1, 3]","[0, 1, 1]","[0.36233527161756957, 0.5304880136124868]","[120, 57]",0.007510132701518498,1.0711634371544879e-07,0.1333421915769577,0.07158669084310532,2.686519505580266
"[6, 16, 21]","[4, 2, 5]","[3, 2, 3]","[0, 1, 1]","[0.5095229221690329, 0.6973440693423687]","[139, 43]",0.013735793623169235,6.001947863657312e-07,1.0654771327972412,0.799558699131012,2.919956334431966
"[6, 4]","[4, 4]","[4, 2]","[0, 1]","[0.5025002147438997, 0.02723454342955145]","[82, 61]",0.01139886334671765,1.2637781041268967e-07,0.5012542605400085,0.3064841330051422,2.045936467250188
"[7, 12, 4]","[2, 2, 5]","[3, 3, 3]","[0, 1, 1]","[0.3163750732094456, 0.37078524191810913]","[67, 35]",0.006475801954876251,1.2563608379462312e-06,1.4759931564331055,2.633497714996338,1.5909091234207153
"[4, 15, 19]","[3, 3, 4]","[3, 1, 2]","[0, 1, 1]","[0.472604419965323, 0.6959952214334578]","[129, 69]",0.0009484803741192007,9.391795876487639e-06,0.08536576479673386,0.04671785235404968,7.475623168547949
"[6, 15, 19]","[3, 3, 4]","[3, 1, 2]","[0, 1, 1]","[0.45104846134192633, 0.6946289798343567]","[174, 114]",0.031020013458561705,1.6084714319318218e-05,1.502630352973938,1.3225873708724976,3.914317584037781
"[7, 16, 13]","[2, 2, 5]","[3, 1, 3]","[0, 1, 1]","[0.5658738150054081, 0.4088446250799744]","[121, 29]",0.00032840164323734726,2.26561615501286e-07,0.19478929042816162,0.08505075424909592,7.650669393936793
"[5, 12, 13]","[2, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.3617994245016746, 0.3053520302276249]","[150, 82]",0.0014220333554792724,0.00012057949414567579,0.11355960369110107,0.07020338624715805,6.845073397954305
"[5, 11, 13]","[4, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.34721213708165216, 0.2784757145936477]","[126, 76]",0.0012705132088157184,0.0001696324698365588,0.09694936871528625,0.0586571991443634,5.293844252824783
"[5, 11, 18]","[4, 4, 3]","[2, 2, 3]","[0, 1, 1]","[0.4652206074511721, 0.2340933505553323]","[125, 67]",0.00019540840968558038,0.0013669901150627345,0.23161649703979492,0.11637550592422485,7.70396206577619
"[5, 12, 22]","[3, 3, 4]","[1, 3, 2]","[0, 1, 1]","[0.531018741364377, 0.2970640450592204]","[177, 74]",0.0931744766034011,3.306140708008146e-05,2.3077988624572754,2.318643093109131,2.7281044006347654
"[5, 12, 13]","[3, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.37788603494850936, 0.3055156481268404]","[124, 85]",0.0012219559135561837,0.00014530361308381576,0.11139469593763351,0.07075363397598267,4.8865420083204905
"[5, 14, 12]","[4, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.2869827474022809, 0.38924604495024134]","[156, 79]",0.007462372811577408,0.0008886939756055226,0.13256992399692535,0.0821475237607956,3.527749691406886
"[4, 11, 15]","[2, 5, 5]","[2, 3, 3]","[0, 1, 1]","[0.36575088388609295, 0.31767347634172105]","[136, 92]",0.00017709261162266284,9.77645736656698e-05,0.3253222703933716,0.19440661370754242,6.809073187907537
"[6, 9, 19]","[3, 5, 3]","[2, 2, 3]","[0, 1, 1]","[0.20395607686442574, 0.2745889929847561]","[168, 64]",0.0018710820992799138,0.0022623041206202557,0.11828790605068207,0.08343580365180969,3.694354975223541
"[4, 9, 7]","[2, 4, 5]","[2, 1, 3]","[0, 1, 1]","[0.6259695955887743, 0.09821582079742205]","[113, 103]",0.0275764955746252,0.0005936449460702455,1.4601061344146729,1.3076210021972656,1.9465287884076437
"[5, 12, 14]","[3, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.3810667253129079, 0.27827989210653603]","[124, 83]",0.0011326476771316202,0.00015689979362252347,0.10114225745201111,0.06565346568822861,5.838896820942561
"[5, 11, 17]","[3, 5, 4]","[2, 2, 3]","[0, 1, 1]","[0.4007191329468569, 0.2596537514880877]","[154, 90]",0.0003967444769101325,0.0003570770011683163,0.115078404545784,0.06955285370349884,6.2186757028102875
