channels,kernel_sizes,strides,paddings,dropouts_probabilities,Nhs,lr,weight_decay,avg_tr_loss,avg_val_loss,train_time
"[4, 9, 22, 35]","[2, 4, 6, 3]","[1, 2, 2, 4]","[0, 0, 0, 0]","[0.36162615501693246, 0.38122474519432953]","[142, 20]",0.004014851463868678,0.04480935560342409,2.3013992309570312,2.3017349243164062,4.140699130296707
"[7, 13]","[4, 5]","[2, 3]","[1, 0]","[0.027997126204945374, 0.014213471396841702]","[65, 62]",0.027362356081336033,6.857570920857757e-06,0.10538104176521301,0.13312096893787384,1.4189274291197458
"[6, 16]","[6, 2]","[2, 4]","[1, 0]","[0.030104787834847598, 0.6628692891306938]","[81, 57]",0.08101682176931244,0.00023797592596742125,1.849273443222046,1.692590355873108,1.8829263985157012
"[6, 15]","[6, 2]","[2, 4]","[1, 0]","[0.0026293183013129003, 0.6563447823656801]","[79, 57]",0.09171984739535764,0.000286644412190366,1.388681411743164,1.0754599571228027,1.8802381793657938
"[5, 16, 4]","[6, 6, 2]","[2, 4, 3]","[1, 0, 0]","[0.0702127983148639, 0.524994612674694]","[17, 82]",0.09044816038039712,0.0005676001850765439,2.3049705028533936,2.30810284614563,2.286682899792989
"[7, 13]","[5, 3]","[3, 3]","[1, 0]","[0.55221901214474, 0.46719247035522804]","[75, 41]",0.010508709690857054,1.4134736455798204e-05,0.35947006940841675,0.14061596989631653,4.3214980920155845
"[7, 9, 32]","[5, 3, 3]","[3, 3, 3]","[1, 0, 1]","[0.5378748423297242, 0.28234764764851267]","[19, 81]",0.00181985669362379,1.5687250484806542e-05,0.40276119112968445,0.2688644230365753,7.405640643835068
"[7, 8, 32]","[5, 3, 3]","[3, 3, 3]","[1, 0, 1]","[0.5499943956674658, 0.07688244607035724]","[23, 72]",0.00027847000966353544,1.9485394681450127e-05,0.4974500238895416,0.2859351634979248,7.631295309464137
"[7, 10, 27]","[5, 3, 3]","[3, 3, 3]","[1, 0, 1]","[0.4431323799340192, 0.26342420466768185]","[21, 99]",0.0018753358147967742,6.2731399494628e-05,0.3375852108001709,0.2404983788728714,5.79949991106987
"[6, 11]","[4, 3]","[4, 3]","[1, 0]","[0.4584230616036839, 0.4637648323010866]","[66, 100]",0.005310288224983003,6.619166087697628e-05,0.5181911587715149,0.25827425718307495,2.43026891152064
"[6, 14, 16]","[3, 2, 4]","[3, 4, 2]","[1, 0, 1]","[0.32217755240435875, 0.07317930185754459]","[68, 96]",0.04257048287780987,5.6621465914265434e-06,1.348791480064392,1.1939198970794678,1.6932560543219248
"[7, 12]","[4, 4]","[2, 3]","[1, 0]","[0.4717695136294498, 0.30567309347605237]","[38, 105]",0.0004377836291760277,4.531895027695882e-05,0.19851315021514893,0.08142250031232834,6.215539970000585
[8],[4],[2],[1],"[0.4880555780536136, 0.6155494902749743]","[37, 8]",3.5481309888772644e-05,3.3497783087555484e-07,0.6721683740615845,0.31411445140838623,5.949113025267919
"[6, 13]","[3, 5]","[2, 3]","[1, 0]","[0.589199711186214, 0.5117469568289953]","[53, 43]",0.00024419646349397613,8.35894695056192e-06,0.3591201901435852,0.12857872247695923,6.348494629065196
"[7, 12]","[4, 5]","[2, 3]","[1, 0]","[0.38401537940168534, 0.5112390587550668]","[74, 32]",0.00042744053020804583,9.127005870082822e-06,0.17182430624961853,0.07512050867080688,6.282919224103292
"[5, 12]","[4, 5]","[2, 3]","[1, 0]","[0.381523846142712, 0.6177974664253305]","[52, 24]",0.00040823169869895357,1.4647888029254582e-06,0.3077576756477356,0.10586276650428772,6.189742122093836
[5],[4],[2],[1],"[0.2941815778988883, 0.6133267710935724]","[100, 21]",7.457969645006413e-05,1.7329596017234947e-06,0.2297627180814743,0.11691370606422424,5.920121429363887
[4],[4],[2],[1],"[0.2928780132861781, 0.6991337267769342]","[117, 17]",0.0004488267160921537,6.074738766496278e-07,0.1981106698513031,0.08311009407043457,5.904596638679505
[4],[4],[2],[1],"[0.2840507795180916, 0.35724825573140845]","[132, 32]",0.0005502718306280396,7.658652893355447e-07,0.06213871389627457,0.054517537355422974,5.345475868384043
[4],[4],[2],[1],"[0.2658697863751295, 0.3662903187593669]","[130, 13]",0.0010574218913665496,5.750610441733698e-07,0.06694870442152023,0.061086732894182205,5.929333064953486
[4],[3],[1],[1],"[0.23343065186610962, 0.351653998014693]","[219, 4]",0.0009292456303606773,0.00011078750297195183,0.04315439611673355,0.07712593674659729,11.279870035250982
[4],[3],[1],[1],"[0.1890752907659794, 0.37014338076231657]","[170, 13]",0.0008137223614638062,0.001568885406299616,0.07898877561092377,0.061230022460222244,10.336096171538035
[4],[4],[2],[1],"[0.17729554943809295, 0.29186028553051063]","[170, 32]",0.0006401364036881811,0.03173521503065653,0.33947259187698364,0.2813411056995392,4.481170819203059
[4],[3],[2],[1],"[0.27592930419210315, 0.37867089581964714]","[137, 15]",0.0011281370597333372,0.0009163379896481205,0.12331525981426239,0.07139968127012253,6.801064922412237
[4],[3],[2],[1],"[0.16593700706139908, 0.3816435111158621]","[205, 12]",0.0026335314152396037,0.002565275323006168,0.18257616460323334,0.11757397651672363,4.16390154560407
[4],[3],[2],[1],"[0.3203879139666757, 0.33026939163713576]","[130, 34]",0.0012912560796765442,0.008819759153405205,0.23425549268722534,0.1498117744922638,3.3174662788709006
