channels,kernel_sizes,strides,paddings,dropouts_probabilities,Nhs,lr,weight_decay,avg_tr_loss,avg_val_loss,train_time
[7],[4],[3],[1],"[0.22470855627669925, 0.5369742765338374]","[50, 37]",0.06675075968485734,2.080896603873941e-06,2.3040428161621094,2.3041815757751465,2.389412152767181
[5],[4],[3],[0],"[0.6262465683990969, 0.11828024572941795]","[115, 4]",1.681808500225002e-05,0.00022951740963426815,1.0067987442016602,0.7555114030838013,6.5830526431401575
[8],[3],[4],[1],"[0.3441813715323237, 0.5449295719482308]","[64, 75]",1.10163207219979e-05,2.26917931737092e-07,0.7990874648094177,0.5203812122344971,5.618708670139313
[7],[3],[3],[0],"[0.3777643507112194, 0.06421041236629309]","[199, 125]",1.9532072710174116e-05,0.015232114700668058,0.39554595947265625,0.31331440806388855,5.824094369014104
"[7, 16]","[2, 3]","[4, 3]","[1, 0]","[0.44976414654573166, 0.45961582345002194]","[177, 86]",1.018090574926144e-05,2.1470166712163252e-05,1.2599897384643555,0.9746149778366089,6.094850206375122
[6],[3],[4],[1],"[0.5239397230802488, 0.6991869931073557]","[213, 102]",2.2447929878004004e-05,0.0003532586244828363,0.7159529328346252,0.3944323658943176,5.76694639523824
[5],[2],[2],[0],"[0.5347712098801699, 0.3303106373431761]","[256, 107]",3.152684702008713e-05,0.01019882803451733,0.3160192370414734,0.2124553918838501,6.216183503468831
"[5, 6]","[2, 5]","[2, 4]","[0, 1]","[0.6909687826032522, 0.30546837901347396]","[253, 119]",0.00016088786350232094,0.014426307322033885,1.173525333404541,0.7420543432235718,6.164833249648412
[6],[3],[3],[0],"[0.5096733320335234, 0.4876373105212717]","[213, 97]",1.979997751159389e-05,0.0011770655896187544,0.5061303973197937,0.2970812916755676,5.826008488734563
[5],[3],[3],[0],"[0.40915735448271384, 0.44876377648242277]","[255, 93]",8.92818258673099e-05,0.0019333040299669329,0.23365338146686554,0.11721621453762054,5.821000544230143
[5],[3],[3],[0],"[0.5362548244078867, 0.43927102071972546]","[254, 96]",9.483730987557641e-05,0.001287289604343405,0.2816218435764313,0.12927046418190002,5.811664966742198
[5],[2],[2],[0],"[0.5959482857770944, 0.40380984874696946]","[240, 86]",9.782106040033938e-05,7.216489245805961e-05,0.17085132002830505,0.08234909176826477,6.180913480122884
[4],[2],[2],[0],"[0.44485443210935577, 0.4958603664207373]","[241, 73]",9.904880812334079e-05,7.168209322031305e-06,0.15009011328220367,0.08358658850193024,6.122394480307897
