Nh1,Nh2,Nh3,dropout_prob_1,dropout_prob_2,dropout_prob_3,activation_function,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time
256,256,64,0.0,0.15,0.5,Tanh(),0.001,0.1,5,100,1.1621804237365725,1.0046117305755615,0.7718269189198812
256,256,32,0.0,0.5,0.5,Tanh(),0.0001,0.0,10,100,1.5945649147033691,1.4464874267578125,0.7110042444864908
128,16,32,0.35,0.35,0.5,Tanh(),0.01,0.1,10,1000,2.882493495941162,2.655064582824707,1.767575518290202
128,128,16,0.5,0.35,0.35,Tanh(),0.001,0.001,10,10,2.6530184745788574,2.163841962814331,0.062465969721476236
16,64,256,0.5,0.0,0.0,Tanh(),0.0001,0.001,5,100,1.1070518493652344,0.9316591024398804,1.618134919802348
64,32,32,0.0,0.35,0.0,Tanh(),0.1,0.001,25,100,3.4926788806915283,3.40417218208313,0.11746426026026408
32,32,256,0.5,0.15,0.15,Tanh(),0.1,0.001,50,100,2.426108121871948,2.2152462005615234,0.14626401742299394
32,16,256,0.15,0.5,0.35,Tanh(),0.1,0.0,25,10,8.68925952911377,6.885312080383301,0.01362248182296753
256,64,256,0.35,0.5,0.0,Tanh(),0.001,0.0,50,10,2.2242906093597408,1.9756901264190676,0.023240174452463784
64,16,16,0.0,0.35,0.0,ReLU(),0.01,0.1,10,1000,0.9698999524116516,0.9558513760566713,2.103086458047231
16,64,16,0.15,0.0,0.15,ReLU(),0.01,0.0,10,1000,0.4873104095458984,1.9997379779815676,1.6463663530349733
128,128,16,0.35,0.5,0.5,Tanh(),0.0001,1e-05,50,1000,1.9507944583892824,1.3376388549804688,2.3405074985822045
128,128,64,0.5,0.15,0.0,Tanh(),0.01,1e-05,10,10,1.7024853229522705,1.5258467197418213,0.03297190507253011
64,256,64,0.35,0.0,0.35,Tanh(),0.0001,1e-05,50,1000,0.4349130690097809,0.3301646411418915,2.339631837209066
64,128,32,0.15,0.15,0.0,Tanh(),0.001,1e-05,25,100,0.3486473560333252,0.3779346346855164,0.21376685937245687
64,256,16,0.5,0.35,0.15,ReLU(),0.0001,0.1,50,100,2.740006923675537,2.7430620193481445,0.3371735994021098
128,64,16,0.35,0.5,0.0,Tanh(),0.001,0.001,50,10,2.2510006427764893,2.2956762313842773,0.05262421846389771
64,64,16,0.35,0.35,0.5,Tanh(),0.1,1e-05,10,10,3.695594787597656,3.2891547679901123,0.02221808592478434
256,128,256,0.35,0.15,0.15,Tanh(),0.0001,0.0,10,10,2.1192178726196294,1.7879626750946045,0.08000866333643596
256,16,32,0.0,0.15,0.15,ReLU(),0.1,0.1,50,10,3.1135013103485107,2.732814073562622,0.013080927530924479
32,16,64,0.5,0.15,0.35,Tanh(),0.1,0.001,10,10,4.731326103210449,4.525105953216553,0.022316578229268396
64,128,64,0.15,0.0,0.5,Tanh(),0.01,1e-05,5,10,2.5676798820495605,2.731100082397461,0.03857927481333415
32,32,64,0.0,0.15,0.5,ReLU(),0.01,0.0,5,1000,0.8542197346687317,0.6993535757064819,2.60493882338206
256,16,256,0.15,0.5,0.15,Tanh(),0.01,0.1,50,10,2.771260499954224,2.6456542015075684,0.013963863054911296
128,128,16,0.0,0.5,0.15,Tanh(),0.1,1e-05,10,1000,3.4463164806365967,3.1599795818328857,2.303627649148305
256,64,16,0.0,0.0,0.15,ReLU(),0.0001,0.001,5,10,1.3826359510421753,1.2169457674026491,0.24620423634847005
256,32,32,0.5,0.15,0.0,Tanh(),0.001,0.1,10,10,2.0832014083862305,1.8763587474823,0.059019680817921964
32,256,64,0.15,0.0,0.15,Tanh(),0.0001,0.1,25,100,2.0194408893585205,1.9491426944732664,0.4198338087399801
256,64,256,0.0,0.15,0.5,Tanh(),0.001,0.1,25,1000,0.8946651220321655,0.8675572276115417,1.0227918569246928
64,64,16,0.15,0.5,0.35,Tanh(),0.0001,0.0,5,100,1.6941642761230469,0.9763654470443726,1.5472268350919087
128,128,16,0.15,0.0,0.5,Tanh(),0.001,0.001,10,10,2.85694432258606,2.3700268268585205,0.039121811389923086
64,256,64,0.35,0.15,0.35,ReLU(),0.001,0.1,50,10,2.7090554237365723,2.661891460418701,0.021349953015645344
16,64,32,0.0,0.0,0.0,ReLU(),0.0001,1e-05,50,100,0.3857387900352478,0.4562541842460632,1.1650253717104593
64,128,16,0.35,0.35,0.15,Tanh(),0.0001,1e-05,10,1000,1.0967934131622314,0.8357362747192383,4.911526195208231
64,64,128,0.35,0.15,0.35,Tanh(),0.001,0.1,5,100,2.2086703777313232,1.963366270065308,0.41472657601038615
256,128,16,0.35,0.5,0.0,ReLU(),0.01,0.1,10,10,2.6991991996765137,2.594557285308838,0.028882054487864173
128,256,64,0.35,0.0,0.5,Tanh(),0.0001,0.1,25,100,2.1716175079345703,1.7981752157211304,0.3822192009290059
64,256,64,0.0,0.15,0.5,ReLU(),0.1,0.1,50,100,1.8045141696929927,1.5899360179901123,0.1301871355374654
128,32,256,0.0,0.0,0.35,ReLU(),0.01,0.1,5,1000,0.8174335360527039,0.7916700839996338,3.194129229386648
