channels,kernel_sizes,strides,paddings,Nhs,No,dropout_probabilities,lr,weight_decay,patience,show_val_loss,prune_every,amounts,avg_tr_loss,avg_val_loss,train_time
"[4, 13]","[4, 4]","[3, 3]","[2, 2]","[123, 107]",5,"[0.011786225950111473, 0.11885128396160982]",0.003263268140416866,1.2277389161805274e-05,5,True,3,"[0.0021900409857431025, 0.2601908599482974, 0.0769949494128358, 0.2903303761684077]",0.15470383534161375,0.15448511145512261,13.297600386540095
"[4, 14]","[6, 5]","[3, 3]","[2, 2]",[132],5,[0.5379325392087557],0.025852228949984252,1.901756785691405e-05,6,True,0,"[0.016752466104095143, 0.27189684813550896, 0.07149525765544326, 0.2985831765161262]",0.2016207278482616,0.3512639265259107,4.183858112494151
"[4, 14]","[5, 4]","[3, 3]","[2, 2]",[144],5,[0.6673735597728592],0.026732535228795897,1.3347881499478832e-05,5,True,0,"[0.012582615634517276, 0.43357322992454783, 0.06363046607023817, 0.31521538103318514]",0.19517061262577773,0.18710291427373887,2.4083359281222028
"[4, 16]","[5, 3]","[2, 2]","[2, 1]",[255],8,[0.6930535161589162],0.024321083765786743,3.903827772207672e-06,5,True,0,"[0.06925363290289084, 0.4874233999327354, 0.05397728027243823, 0.3215667843627831]",0.1805591744069631,0.1706559985677401,4.984229852755864
"[5, 14]","[5, 4]","[2, 2]","[2, 2]",[153],9,[0.6946354295168471],0.024278927116888446,1.7512719370618837e-05,5,True,2,"[0.0072011781659621025, 0.424584863300233, 0.0934647980988448, 0.49146597917433676]",0.18694805883305768,0.19706143502394358,3.488757582505544
"[4, 16]","[5, 4]","[3, 3]","[2, 2]",[110],5,[0.026925153320657647],0.04863633356964625,3.639267199675339e-05,7,True,3,"[0.1352446807440792, 0.41498285205524527, 0.021259474200713106, 0.3344886132374781]",0.16578405352278303,0.16176044354836144,4.979181867837906
"[4, 13]","[5, 4]","[3, 3]","[2, 2]",[68],4,[0.0625604006851131],0.013965193767522005,0.00029407779944683063,7,True,3,"[0.1810707338532317, 0.301568269365175, 0.0963761459721737, 0.2654230087460212]",0.17589399319142102,0.1737516872882843,7.764394476016363
"[5, 13]","[4, 4]","[3, 3]","[2, 2]","[69, 36]",3,"[0.059764434646517935, 0.10544170524584733]",0.004829018106897219,0.00015630626184870018,8,True,3,"[0.2031268638647009, 0.31393987708406035, 0.17509043091430176, 0.2682704554909344]",0.1795712612600376,0.17689617321888607,14.28510014017423
"[4, 11]","[5, 4]","[3, 3]","[2, 2]","[64, 35]",3,"[0.06545579641619581, 0.2702269271266497]",0.010122666998486553,0.00024347902335126448,7,True,4,"[0.17401340327910392, 0.2972997214710409, 0.10820183660335592, 0.26003334661972266]",0.19292867396368335,0.18704503814379375,8.926775177319845
"[5, 15]","[5, 4]","[3, 2]","[2, 2]","[34, 112]",2,"[0.038218390780363314, 0.0014251234109805]",0.0016393013768227368,0.0003944982335527389,6,True,4,"[0.15839394396309897, 0.31729488698972064, 0.13079199052186752, 0.1857561587234152]",0.19927059908397493,0.19891533031066258,5.660210984945297
"[5, 11, 10]","[6, 3, 3]","[2, 3, 3]","[3, 0, 1]",[88],3,[0.11414632336424925],0.015664667626836208,1.0630049480550992e-05,8,True,3,"[0.21468312457869076, 0.20746791785728452, 0.08049911805277823, 0.23365465400146393]",0.18025002644537017,0.17984039344390235,6.64646525979042
