number,value,datetime_start,datetime_complete,duration,params_N_latent,params_Nh1,params_Nh2,params_Nh3,params_ch1,params_ch2,params_ch3,params_ch4,params_ks1,params_ks2,params_ks3,params_ks4,params_lr,params_ncl,params_nll,params_p1,params_p2,params_p3,params_padding1,params_padding2,params_padding3,params_padding4,params_patience,params_prune_every,params_pruning_amount1,params_pruning_amount2,params_pruning_amount3,params_pruning_amount4,params_stride1,params_stride2,params_stride3,params_stride4,params_train_batch_size,params_weight_decay,state
0,,2021-01-18 18:13:41.575737,2021-01-18 18:23:43.692105,0 days 00:10:02.116368,2.0,47.0,22.0,18.0,4.0,11.0,14.0,12.0,6.0,5.0,4.0,5.0,0.0087744858175335,4.0,3.0,0.4023438595644946,0.6421875409541629,0.2411928022416976,1.0,2.0,2.0,2.0,9.0,6.0,0.42377745343071216,0.13185059553400558,0.1797074085864797,0.4286914875480577,4.0,4.0,1.0,3.0,216.0,0.0009147436635089639,PRUNED
1,,2021-01-18 18:23:43.711016,2021-01-18 18:46:33.208569,0 days 00:22:49.497553,16.0,50.0,8.0,9.0,8.0,5.0,26.0,,3.0,2.0,5.0,,0.0018188553900089213,3.0,3.0,0.34232775432122486,0.1947396082118807,0.020526639094237152,0.0,0.0,2.0,,11.0,9.0,0.324252412764478,0.03893553642215947,0.45150831662611857,0.20218432128889902,4.0,4.0,4.0,,431.0,3.507152630270058e-07,PRUNED
2,,2021-01-18 18:46:33.233781,2021-01-18 18:57:03.782742,0 days 00:10:30.548961,2.0,17.0,,,8.0,6.0,16.0,9.0,2.0,6.0,2.0,2.0,0.0005465649561975245,4.0,1.0,0.09724385503454147,,,1.0,2.0,0.0,0.0,14.0,7.0,0.3334876856921606,0.011730188976187272,0.10893151258065831,0.17614495268411107,3.0,4.0,1.0,3.0,128.0,1.6358607055658212e-05,PRUNED
3,,2021-01-18 18:57:03.806667,2021-01-18 19:06:33.816213,0 days 00:09:30.009546,1.0,48.0,13.0,,5.0,12.0,30.0,12.0,5.0,6.0,4.0,3.0,0.0009231950653152993,4.0,2.0,0.1800199460085096,0.6627920059874679,,1.0,2.0,2.0,1.0,7.0,4.0,0.37625116333149666,0.17686253634602972,0.2435421055130952,0.45090451971610945,3.0,1.0,4.0,4.0,415.0,0.00012083203921487982,PRUNED
4,,2021-01-18 19:06:33.840747,2021-01-18 19:16:53.097731,0 days 00:10:19.256984,7.0,27.0,62.0,59.0,8.0,15.0,31.0,,6.0,3.0,5.0,,0.03843575104819123,3.0,3.0,0.12039127306982801,0.5639348134263807,0.19762942912440418,3.0,0.0,0.0,,12.0,9.0,0.08851408628920565,0.3680940422091929,0.23725889789162813,0.14968075535880526,1.0,3.0,3.0,,185.0,0.02187538491813358,PRUNED
5,,2021-01-18 19:16:53.121980,2021-01-18 19:32:15.413160,0 days 00:15:22.291180,6.0,181.0,,,8.0,7.0,27.0,,3.0,3.0,3.0,,0.0001644472657969727,3.0,1.0,0.2635142536413923,,,1.0,1.0,1.0,,14.0,4.0,0.2889737547326234,0.04848886960225185,0.30364213244605315,0.35948751163509485,1.0,4.0,4.0,,482.0,4.186017505337871e-07,PRUNED
6,,2021-01-18 19:32:15.438147,2021-01-18 19:32:15.470510,0 days 00:00:00.032363,13.0,129.0,25.0,13.0,7.0,5.0,10.0,29.0,3.0,4.0,4.0,4.0,0.00018114154221576882,4.0,3.0,0.22665471146148883,0.3452145483475186,0.46301114420463374,1.0,0.0,0.0,1.0,12.0,5.0,0.299570086622016,0.4949826394351498,0.007521316453272364,0.3688971765246345,4.0,3.0,3.0,4.0,347.0,5.119411000109964e-06,PRUNED
7,,2021-01-18 19:32:15.497855,2021-01-18 19:32:15.536693,0 days 00:00:00.038838,13.0,95.0,,,5.0,4.0,25.0,39.0,5.0,5.0,4.0,5.0,0.06388855759752907,4.0,1.0,0.6333071227117776,,,2.0,1.0,0.0,0.0,4.0,7.0,0.31344482577830474,0.3533971904724391,0.4412114869030506,0.44205733103611894,2.0,2.0,1.0,1.0,91.0,7.328744696366568e-05,PRUNED
8,,2021-01-18 19:32:15.565482,2021-01-18 19:45:16.512767,0 days 00:13:00.947285,7.0,22.0,54.0,26.0,8.0,14.0,,,5.0,2.0,,,0.0023113968742170792,2.0,3.0,0.44719161230164894,0.1469652149606122,0.4776216734862622,1.0,1.0,,,13.0,6.0,0.41954004024606667,0.34544013287435377,0.46005839110940355,0.4022363515240937,4.0,3.0,,,286.0,0.005698309420780564,PRUNED
9,,2021-01-18 19:45:16.537231,2021-01-18 19:56:48.401856,0 days 00:11:31.864625,15.0,41.0,8.0,,7.0,7.0,20.0,,2.0,2.0,6.0,,0.00027292435954421766,3.0,2.0,0.5665252743423388,0.599242203691809,,0.0,1.0,1.0,,14.0,5.0,0.4789423072392839,0.18299760656334446,0.45694545828846483,0.04603853444660766,3.0,1.0,1.0,,105.0,0.0001729273332114822,PRUNED
10,,2021-01-18 19:56:48.424784,2021-01-18 20:00:00.482589,0 days 00:03:12.057805,4.0,8.0,22.0,,4.0,10.0,,,6.0,5.0,,,0.009824660517878024,2.0,2.0,0.4778581296369142,0.4365978672335863,,3.0,2.0,,,8.0,1.0,0.1194526770804937,0.12182103540140893,0.1354687396687906,0.29085826778638274,2.0,2.0,,,178.0,0.0026831961283547293,PRUNED
