Ni,Nhs,No,activation_function,lr,batch_size,discount_rate,position_weight,position_exponent,angle_weight,angle_exponent,bad_state_penalty,update_target_net_every,num_episodes,final_score,train_time
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,"[16, 154]",2,<class 'torch.nn.modules.activation.Tanh'>,0.001705315893071,148,0.799058296298214,-0.730819131006895,2,-1.02670179732755,2,0,20,1000,31.1,1.47397454182307
4,"[90, 104, 95]",2,<class 'torch.nn.modules.activation.Tanh'>,0.000154090610526,361,0.969339789670463,-1.38966678893365,1,-7.72612827016132,3,0,8,1000,29.8,1.51033978064855
4,"[111, 23]",2,<class 'torch.nn.modules.activation.Tanh'>,0.015813586615524,434,0.314293938283266,-1.98991793537904,2,-0.554027438630456,3,0,16,1000,18.8,1.07419078350067
4,"[220, 36]",2,<class 'torch.nn.modules.activation.Tanh'>,0.00165167084866,83,0.987828856473613,-1.31058064606911,1,-2.33533894301444,2,0,11,1000,9.1,0.341883873939514
4,"[215, 208]",2,<class 'torch.nn.modules.activation.Tanh'>,0.006620422085858,202,0.7091856273375,-1.14199049615175,1,-0.807233227869851,3,0,6,1000,11.9,0.53349715868632
4,"[24, 100, 68]",2,<class 'torch.nn.modules.activation.Tanh'>,0.283763705145101,80,0.622840150993386,-0.853862237284217,2,-0.957000763219698,1,0,13,1000,279.9,7.69821781714757
4,"[32, 43, 48]",2,<class 'torch.nn.modules.activation.Tanh'>,0.020603007004293,481,0.516538770935094,-0.997539169436692,3,-5.03979765479208,2,0,20,1000,180.8,3.2749094804128
4,"[23, 127, 120]",2,<class 'torch.nn.modules.activation.Tanh'>,0.000137042406045,168,0.950961846787985,-0.823579407493905,3,-4.5171505085661,2,0,9,1000,9.7,0.504142642021179
4,"[114, 52]",2,<class 'torch.nn.modules.activation.Tanh'>,0.351929588261411,98,0.814913835508307,-0.906730146885656,2,-6.1974299763998,3,0,8,1000,127.4,3.94986265897751
4,"[147, 30, 22]",2,<class 'torch.nn.modules.activation.Tanh'>,0.000531281378475,498,0.631696035262347,-1.5280204298785,3,-4.41168053879736,2,0,19,1000,12.6,0.817322893937429
4,"[44, 91, 247]",2,<class 'torch.nn.modules.activation.Tanh'>,0.966999605621921,66,0.430693942194848,-0.038037980631991,2,-2.07923911880262,1,0,14,1000,166,7.63763067324956
4,"[35, 57, 32]",2,<class 'torch.nn.modules.activation.Tanh'>,0.121880328091628,281,0.51174236375307,-0.334129151640808,3,-6.57170936334139,1,0,17,1000,9.1,0.506732177734375
4,"[24, 16, 48]",2,<class 'torch.nn.modules.activation.Tanh'>,0.048229983669874,106,0.539207816011155,-0.476374452905256,3,-3.2305051615998,1,0,13,1000,174.7,5.7829630057017
4,"[53, 72, 63]",2,<class 'torch.nn.modules.activation.Tanh'>,0.915785569547813,241,0.403530380185286,-1.72465811139227,3,-5.29924657144121,1,0,4,1000,29.9,1.43099001646042
4,"[16, 42, 41]",2,<class 'torch.nn.modules.activation.Tanh'>,0.099802808828122,131,0.639282917272432,-0.558292614890093,2,-3.30690924645942,2,0,17,1000,9.4,0.394796534379323
4,"[26, 72, 87]",2,<class 'torch.nn.modules.activation.Tanh'>,0.028159315801589,64,0.542146949806595,-1.07550851855087,3,-5.73267555316713,1,0,20,1000,187.4,2.92065439224243
4,"[22, 235, 123]",2,<class 'torch.nn.modules.activation.Tanh'>,0.302510528440882,69,0.746411916664292,-1.18214053752202,1,-7.02805243761813,1,0,11,496,500,1.9817946712176
4,"[16, 238, 190]",2,<class 'torch.nn.modules.activation.Tanh'>,0.228531787215611,77,0.753170850454933,-1.69951852470724,1,-7.4108968285027,1,0,11,495,500,3.22623501221339
4,"[17, 255, 190]",2,<class 'torch.nn.modules.activation.Tanh'>,0.363329573728884,65,0.867682646543025,-1.91931217835695,1,-7.99033926836718,1,0,11,528,500,2.6349927743276
4,"[72, 190, 164]",2,<class 'torch.nn.modules.activation.Tanh'>,0.09925780716344,121,0.729274110492075,-1.67402074543929,1,-7.17568457039693,1,0,10,1000,9.4,0.490757004419963
4,"[18, 237, 149]",2,<class 'torch.nn.modules.activation.Tanh'>,0.976253753158608,80,0.870541743031226,-1.79189812385865,1,-6.93557150659256,1,0,3,1000,116.9,9.72993834813436
4,"[16, 254, 241]",2,<class 'torch.nn.modules.activation.Tanh'>,0.294149141817001,65,0.816503809556027,-1.98493843816411,1,-7.86217804896198,1,0,12,499,500,3.87920735677083
4,"[19, 157, 229]",2,<class 'torch.nn.modules.activation.Tanh'>,0.19479693141832,91,0.725284773053828,-1.50054210843052,1,-7.95994902587346,1,0,14,498,500,4.15406140486399
4,"[20, 165, 245]",2,<class 'torch.nn.modules.activation.Tanh'>,0.057068688236551,96,0.723056290407839,-1.2484495066425,1,-7.41234716456033,1,0,15,1000,9.3,0.456656595071157
4,"[34, 138, 128]",2,<class 'torch.nn.modules.activation.Tanh'>,0.157570116635851,76,0.764337325909056,-1.50197042275386,1,-6.27143525363708,1,0,6,385,500,1.91487832466761
4,"[34, 124, 124]",2,<class 'torch.nn.modules.activation.Tanh'>,0.589488150106753,75,0.903718827586547,-1.56205239663555,1,-6.14542540877379,1,0,6,1000,299.7,9.14586658080419
4,"[44, 202, 115]",2,<class 'torch.nn.modules.activation.Tanh'>,0.007098547034803,115,0.778041793291371,-1.40084893034701,1,-6.7351365020233,1,0,6,632,500,1.07150940100352
4,"[28, 255, 163]",2,<class 'torch.nn.modules.activation.Tanh'>,0.051985643687422,72,0.769861698037507,-1.18062276019822,1,-5.52855845915865,2,0,8,1000,100.9,4.22781346241633
4,"[43, 136, 86]",2,<class 'torch.nn.modules.activation.Tanh'>,0.559166241567842,89,0.678822369164297,-1.79966008094714,1,-6.22524949842103,1,0,4,1000,9.5,0.411248970031738
4,"[61, 175]",2,<class 'torch.nn.modules.activation.Tanh'>,0.152803992894164,144,0.853688472459931,-1.60754386704721,2,-7.30765425718097,1,0,10,384,500,3.18232034047445
4,"[57, 183]",2,<class 'torch.nn.modules.activation.Tanh'>,0.151245528955243,145,0.85457002191398,-1.63113792165589,2,-7.52235122368538,2,0,9,1000,203.3,6.93368338346481
4,"[69, 219]",2,<class 'torch.nn.modules.activation.Tanh'>,0.16324760383763,181,0.91488424632741,-1.4155867409654,2,-7.05935229494845,1,0,10,147,500,0.813896306355794
